theta1,theta2
-2.000000000000000000e+00,2.000000000000000000e+00
-1.963902711178248994e+00,1.956250947232579307e+00
-1.963902711178248994e+00,1.956250947232579307e+00
-1.963902711178248994e+00,1.956250947232579307e+00
-1.875449608520606049e+00,2.025086851962693668e+00
-1.856632944412011987e+00,1.972541415409986731e+00
-1.919867246166526487e+00,1.922355876923757867e+00
-1.897190694502899344e+00,1.921872723044020237e+00
-1.896238436492428292e+00,1.981159898745519454e+00
-1.863259691475639190e+00,1.937046868790322396e+00
-1.891749284582291857e+00,2.012996523177751573e+00
-1.869743937526379574e+00,1.989905194532265442e+00
-1.857146656608244628e+00,1.982991561206550291e+00
-1.825028497539685990e+00,1.905209918515034184e+00
-1.792846549944325796e+00,1.885629992584421100e+00
-1.814057197921101983e+00,1.895762258439336323e+00
-1.776028675069774465e+00,1.897432451849753177e+00
-1.825115776733114537e+00,1.890688941475231477e+00
-1.803562670263291867e+00,1.851908026032034860e+00
-1.754893947793962683e+00,1.939783270120623682e+00
-1.687529102784571133e+00,1.940985658576577011e+00
-1.687529102784571133e+00,1.940985658576577011e+00
-1.757403569802610921e+00,1.841054582313879973e+00
-1.749592174812159673e+00,1.793845248019545924e+00
-1.722379332310072675e+00,1.868327640134125112e+00
-1.702501267141483421e+00,1.856713381545702202e+00
-1.737133278396527647e+00,1.796644694369962769e+00
-1.748229535906461241e+00,1.792273578676468082e+00
-1.785356140596617180e+00,1.764672704460377606e+00
-1.808810007360994287e+00,1.836382850648027310e+00
-1.808810007360994287e+00,1.836382850648027310e+00
-1.848515106633513927e+00,1.756097861624510870e+00
-1.735818310818801891e+00,1.817737075231344868e+00
-1.736681648133248546e+00,1.890695892615148921e+00
-1.670964342447422313e+00,1.910835030937403589e+00
-1.670964342447422313e+00,1.910835030937403589e+00
-1.631331089105418020e+00,1.925951168308967176e+00
-1.685758546853987960e+00,1.929734336134584005e+00
-1.687765497153335792e+00,1.934179904032828912e+00
-1.611060916056637371e+00,1.865797987818336390e+00
-1.579202928879087642e+00,1.844480996935070616e+00
-1.546235880631198212e+00,1.879671253003259768e+00
-1.582489627481523220e+00,1.953239538165917999e+00
-1.637751337314146349e+00,1.935977124839852515e+00
-1.598523443944686262e+00,1.855838675936088755e+00
-1.598523443944686262e+00,1.855838675936088755e+00
-1.584982679792206417e+00,1.826336507372220641e+00
-1.591966693653633635e+00,1.850838086188682841e+00
-1.619012299204124039e+00,1.813088260282360364e+00
-1.644337073326856968e+00,1.852735795474677483e+00
-1.669560227504210292e+00,1.838333321874424220e+00
-1.688782815394021197e+00,1.875735362137917805e+00
-1.650452469835810732e+00,1.885002517306263448e+00
-1.585083028810599481e+00,1.861263731913890052e+00
-1.663671177471960139e+00,1.854685622618427843e+00
-1.708329907516136004e+00,1.811580463425904730e+00
-1.714167855282871855e+00,1.706008448569792391e+00
-1.681192008880681987e+00,1.762699118074646298e+00
-1.742397473529520679e+00,1.807101328156568432e+00
-1.773828614357668476e+00,1.815525556739831403e+00
-1.731055521148093579e+00,1.695828503422627476e+00
-1.731055521148093579e+00,1.695828503422627476e+00
-1.706449268599109947e+00,1.579757590491819963e+00
-1.667529275040088299e+00,1.559635548849648501e+00
-1.653092657704403612e+00,1.477793494213310632e+00
-1.747892952143131229e+00,1.493054084367279488e+00
-1.716957821047774724e+00,1.548704806564061176e+00
-1.643358871059666715e+00,1.570083603910076286e+00
-1.672384104920567216e+00,1.524204684639609786e+00
-1.649775173339551593e+00,1.500291019194676112e+00
-1.594508256439045812e+00,1.419520171981242918e+00
-1.619448529228902256e+00,1.312501930465090449e+00
-1.704712975959606469e+00,1.370153601240737817e+00
-1.610862863789834343e+00,1.315293849658836223e+00
-1.625393418026080061e+00,1.312950709065694888e+00
-1.625393418026080061e+00,1.312950709065694888e+00
-1.644054326994913273e+00,1.288678027996410291e+00
-1.723267661285240226e+00,1.252229337103470952e+00
-1.692348815259905326e+00,1.296312519523923346e+00
-1.656657458943410210e+00,1.255873166278126174e+00
-1.655107670460614910e+00,1.274268215244489522e+00
-1.676140298821340968e+00,1.316072440128929877e+00
-1.619746022188968348e+00,1.279788224386401385e+00
-1.637327244692146744e+00,1.275358352946730278e+00
-1.698130570638467063e+00,1.236900103095294190e+00
-1.653071577362895894e+00,1.266420221006213431e+00
-1.660686521027718188e+00,1.334137223355805313e+00
-1.652534247367623665e+00,1.393404700709585109e+00
-1.647806699606494840e+00,1.428370194385403025e+00
-1.667522598647208865e+00,1.462317052353782065e+00
-1.700253869357811087e+00,1.414737472571121257e+00
-1.603020513270186020e+00,1.360873038757864695e+00
-1.562403365747618178e+00,1.266267364462571932e+00
-1.545846593913759559e+00,1.355660900212754871e+00
-1.617050276047113933e+00,1.257160632390453170e+00
-1.617050276047113933e+00,1.257160632390453170e+00
-1.652847613016332762e+00,1.306640859528320542e+00
-1.602460041378990896e+00,1.352071381473019862e+00
-1.617721954991610867e+00,1.343063112786565760e+00
-1.573753039624476768e+00,1.295160477295848267e+00
-1.598930945895111977e+00,1.312751456789816418e+00
-1.568886211480557069e+00,1.314884856582069883e+00
-1.587948758964242257e+00,1.305676580691820909e+00
-1.543701834904554149e+00,1.424489370854810533e+00
-1.669093136707307412e+00,1.410912775018690724e+00
-1.615751288925211471e+00,1.435137717927325918e+00
-1.658721398811895620e+00,1.483712017840731034e+00
-1.609408491902275973e+00,1.503181714178732920e+00
-1.601624229054394499e+00,1.456434322305333984e+00
-1.666745138994601305e+00,1.481943309489092142e+00
-1.611097372084067780e+00,1.488945463074686781e+00
-1.611097372084067780e+00,1.488945463074686781e+00
-1.560052077907823520e+00,1.471136942609586606e+00
-1.605732388266871702e+00,1.426904511602973491e+00
-1.649987506202891030e+00,1.365375089594105695e+00
-1.586455380553445149e+00,1.383954517097545134e+00
-1.586455380553445149e+00,1.383954517097545134e+00
-1.571713489928261653e+00,1.360210621906154493e+00
-1.604341135125892048e+00,1.349216673668238275e+00
-1.604278032558350775e+00,1.325908913612226625e+00
-1.647013565188703677e+00,1.268184052267570694e+00
-1.634486561214227196e+00,1.274902227590296366e+00
-1.601307213254272499e+00,1.240917661127364902e+00
-1.564584491183197867e+00,1.199076028791747239e+00
-1.539620344140895769e+00,1.226389291042370600e+00
-1.586870685599480524e+00,1.136945148765323488e+00
-1.551526076943475108e+00,1.145224674007196963e+00
-1.545941830453389843e+00,1.019146085415659986e+00
-1.463502532166892189e+00,1.012218214594110988e+00
-1.461931721525282502e+00,9.946611930087805309e-01
-1.508610484110302075e+00,9.960663882038857109e-01
-1.508610484110302075e+00,9.960663882038857109e-01
-1.584157772477305715e+00,9.998730658958746575e-01
-1.568037179706829543e+00,1.003669117057293114e+00
-1.606269410589968860e+00,9.724134861637410143e-01
-1.629661672261557559e+00,1.027134729445856820e+00
-1.675382492367168075e+00,1.034999683053866359e+00
-1.691556492129948852e+00,9.584718537441127006e-01
-1.652325096482031519e+00,9.584508935468281088e-01
-1.599036211674438546e+00,9.792345650482753294e-01
-1.561916108282228821e+00,1.081498560931577924e+00
-1.535607679196947295e+00,1.118543550765390249e+00
-1.576357023412452874e+00,1.159030385091493809e+00
-1.558499084715395000e+00,1.123595416880080133e+00
-1.558499084715395000e+00,1.123595416880080133e+00
-1.534356923151158236e+00,1.142232490386837052e+00
-1.526617862950669702e+00,1.092125571482344348e+00
-1.584975913542050918e+00,1.166642073863766615e+00
-1.604849420528001280e+00,1.116372250673547839e+00
-1.607223578758923965e+00,1.124860203912908974e+00
-1.618556688908729502e+00,1.058483787614431737e+00
-1.611993289322316558e+00,1.126834631726614244e+00
-1.611993289322316558e+00,1.126834631726614244e+00
-1.499427390634724855e+00,1.114598719918417968e+00
-1.499427390634724855e+00,1.114598719918417968e+00
-1.599837381173025319e+00,1.147391861143536307e+00
-1.572165030310484379e+00,1.078231324656868440e+00
-1.526949683747353959e+00,1.053715751237704001e+00
-1.507676202291762912e+00,1.070490088396002903e+00
-1.540935473952889545e+00,9.652518454858356467e-01
-1.477711663475536064e+00,9.347098010180214800e-01
-1.432174545793150067e+00,9.494877372942112093e-01
-1.473094058529499373e+00,8.926742278207733250e-01
-1.464358521891572007e+00,8.848891612473981372e-01
-1.459991449090319637e+00,9.091190163728274376e-01
-1.450711140947439803e+00,9.099821792555605748e-01
-1.412714979880374422e+00,8.565527757733872871e-01
-1.472307368391313709e+00,8.086930196706032525e-01
-1.470906323354974177e+00,8.526316385997434466e-01
-1.567705343515715555e+00,8.638401769081389681e-01
-1.485853232799701829e+00,8.489343940267158883e-01
-1.405598371363661281e+00,8.795868825749940667e-01
-1.317404859760797464e+00,8.781420681925603544e-01
-1.251222995908950475e+00,7.637546952864262551e-01
-1.179880804928165272e+00,8.298043047138922157e-01
-1.176852517083705196e+00,7.788865903358879184e-01
-1.246396046628919230e+00,7.319736151509755873e-01
-1.231623549998111189e+00,6.583343116437025966e-01
-1.140028358684353371e+00,7.297228208893099533e-01
-1.209135955670435969e+00,6.978886967031434629e-01
-1.209135955670435969e+00,6.978886967031434629e-01
-1.260144426485706459e+00,7.441081990139217783e-01
-1.242360564229468611e+00,7.386839209219643321e-01
-1.245180167057789333e+00,7.451143727300585384e-01
-1.170228586783689684e+00,7.108102582578424977e-01
-1.162297485098085392e+00,7.113776321066325181e-01
-1.162297485098085392e+00,7.113776321066325181e-01
-1.200056027155901983e+00,6.846640086894274502e-01
-1.159772556996855553e+00,6.764479618428873575e-01
-1.196880699360417744e+00,6.820065523781039252e-01
-1.144302890169897058e+00,7.518392106748209569e-01
-1.151596017873165012e+00,7.701078991368809357e-01
-1.117824854281102009e+00,7.635062986161449405e-01
-1.104815900499946490e+00,7.341061000422777205e-01
-1.071241414714607876e+00,7.173868122474289510e-01
-1.035165093158158856e+00,7.214153356224454194e-01
-1.089926964453757474e+00,6.965621052910361266e-01
-9.636228168077057843e-01,7.154972032864240772e-01
-9.038898213014624483e-01,6.998675855463974971e-01
-8.624608794387976785e-01,6.674210709788310769e-01
-8.793561457569091244e-01,5.318927398998675171e-01
-9.564097642631979035e-01,5.365077546179248813e-01
-9.564097642631979035e-01,5.365077546179248813e-01
-1.000743004838972494e+00,5.606973876495252584e-01
-1.125966335292974962e+00,5.556862701806150051e-01
-1.120814770346349132e+00,5.543890494116258116e-01
-1.079411859141067742e+00,4.756102119526263716e-01
-1.036876614961126153e+00,4.875111941940574734e-01
-1.053773280741239882e+00,5.720071859193985864e-01
-1.006876312117126249e+00,6.012910632574358649e-01
-9.796549934928517889e-01,6.231532241373630709e-01
-8.905858363214015361e-01,5.292619937067077895e-01
-8.744628884311514971e-01,5.169778196371411783e-01
-9.074413653751957076e-01,4.564498873218655883e-01
-8.782859520045362967e-01,4.603094889998675110e-01
-8.977323586015114598e-01,4.936436869197810551e-01
-9.369265687145262866e-01,4.934951713036732635e-01
-9.876003843829034290e-01,4.719785991886593646e-01
-9.780888076700684497e-01,4.697264224720039127e-01
-9.769098920656724694e-01,3.994842664424543832e-01
-9.958638745400362202e-01,4.045408557105298897e-01
-9.785352211504202424e-01,4.356872870291313982e-01
-9.785352211504202424e-01,4.356872870291313982e-01
-9.735126056847583920e-01,3.859079118828928623e-01
-1.022813656893311940e+00,3.699323905262490997e-01
-1.083906398323560838e+00,3.029846676685367113e-01
-1.076419761598158331e+00,3.522562579620010514e-01
-1.044605160069931760e+00,4.517485084403302653e-01
-1.044605160069931760e+00,4.517485084403302653e-01
-1.044605160069931760e+00,4.517485084403302653e-01
-1.008288356357962989e+00,4.052926782002453376e-01
-1.053692350778928866e+00,4.501613132926938210e-01
