theta1,theta2
-2.000000000000000000e+00,2.000000000000000000e+00
-1.155585939880904522e+00,1.764950688008986024e+00
-1.155585939880904522e+00,1.764950688008986024e+00
1.529075846481660950e+00,3.069589727568931004e+00
5.415830186416855652e-01,2.176801055366079929e+00
9.529188803039435607e-01,-1.075775360552176263e+00
9.529188803039435607e-01,-1.075775360552176263e+00
9.529188803039435607e-01,-1.075775360552176263e+00
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
-1.171885532672828356e-01,-5.965056680074232176e-02
1.138204632724914678e+00,2.316755112222075308e-01
1.138204632724914678e+00,2.316755112222075308e-01
1.138204632724914678e+00,2.316755112222075308e-01
1.138204632724914678e+00,2.316755112222075308e-01
-1.256276779521514619e-02,1.271525202251682973e+00
-1.256276779521514619e-02,1.271525202251682973e+00
-1.256276779521514619e-02,1.271525202251682973e+00
-1.256276779521514619e-02,1.271525202251682973e+00
-1.256276779521514619e-02,1.271525202251682973e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
1.406589444896513053e+00,1.775679555610933047e+00
3.215031997809414399e-02,9.226925815172209999e-01
3.215031997809414399e-02,9.226925815172209999e-01
3.215031997809414399e-02,9.226925815172209999e-01
3.215031997809414399e-02,9.226925815172209999e-01
-1.161339939613404759e+00,3.656669323010151018e-01
1.004007214623840127e+00,-1.306526081025390362e-01
1.012700090916023532e+00,-5.294507348402888169e-01
3.403221232295250420e-01,-1.020983390839190319e+00
6.613641339730952362e-02,-3.340969342544750642e-01
6.613641339730952362e-02,-3.340969342544750642e-01
6.613641339730952362e-02,-3.340969342544750642e-01
6.613641339730952362e-02,-3.340969342544750642e-01
-2.608772267305987658e-01,1.785335477126661630e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.168184123866956137e-01,1.659872928068920617e-01
3.323638001449291113e-01,-4.554295118084304983e-01
3.323638001449291113e-01,-4.554295118084304983e-01
3.323638001449291113e-01,-4.554295118084304983e-01
-9.991667968266737532e-01,-1.002934089358078928e+00
-9.991667968266737532e-01,-1.002934089358078928e+00
-9.991667968266737532e-01,-1.002934089358078928e+00
-9.991667968266737532e-01,-1.002934089358078928e+00
-5.573660466043537376e-01,3.261647926633486350e-01
-5.573660466043537376e-01,3.261647926633486350e-01
-1.315282010163636439e-01,9.151267488082073243e-01
2.531618571317235111e-01,2.355709184188492955e+00
7.513850617394816078e-01,1.141311773543667751e+00
7.513850617394816078e-01,1.141311773543667751e+00
7.513850617394816078e-01,1.141311773543667751e+00
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-5.256199601891965445e-01,-7.804159167612334524e-01
-2.312123862421871512e-01,-1.253763712222109028e-01
-2.312123862421871512e-01,-1.253763712222109028e-01
-2.312123862421871512e-01,-1.253763712222109028e-01
-2.312123862421871512e-01,-1.253763712222109028e-01
-2.312123862421871512e-01,-1.253763712222109028e-01
2.863511175382622009e-01,3.118763634439706833e-01
2.863511175382622009e-01,3.118763634439706833e-01
2.863511175382622009e-01,3.118763634439706833e-01
2.863511175382622009e-01,3.118763634439706833e-01
5.668898743241377325e-01,-1.143202796865955051e+00
5.668898743241377325e-01,-1.143202796865955051e+00
-1.378141948386777393e-01,-1.006864985546570335e+00
-9.400983666807146699e-01,8.443510292979519161e-01
1.712547873245179542e+00,1.062887729418789728e+00
4.709245993260471330e-01,1.430867331708147061e+00
4.709245993260471330e-01,1.430867331708147061e+00
4.709245993260471330e-01,1.430867331708147061e+00
